,Technologysolution,Othersystemarchitecturalsolutions,Architecturalsolutionbenefitsanddrawbacks,Motivationofdesignissue,Contextualconstraints,Risks,Architecturaldesignconfiguration,Existingsystemarchitecturedescription,Architecturalcomponentbehaviorandstructure,Userrequirement,QualityAttributerequirement,Assumptions,Architecturaltactics,Technicaldebt,Trade-offs,Run-timequalityissues
Technologysolution,0.8834,0.0014,29.6397,1.196,1.2275,7.7263,5.2661,1.3427,0.8496,0.5961,2.3895,0.1368,0.6146,0.1045,0.0396,1.4066
Othersystemarchitecturalsolutions,0.0014,1.0804,27.3449,0.7402,0.0101,1.4998,0.4274,0.7475,7.84,0.0332,0.1835,4.6779,2.2847,0.1507,0.0036,1.6897
Architecturalsolutionbenefitsanddrawbacks,29.6397,27.3449,2352.1502,11.4141,1.1811,0.5548,898.5235,71.6518,519.2426,0.0799,0.1735,180.9875,1.712,3.7293,0.5049,0.1046
Motivationofdesignissue,1.196,0.7402,11.4141,11.1545,0.306,0.2381,0.9636,0.1187,0.24,0.7595,0.0466,3.2597,2.1884,0.3618,1.2436,2.8352
Contextualconstraints,1.2275,0.0101,1.1811,0.306,1.6539,9.561,6.9192,1.7854,0.2367,0.8668,3.0782,0.9224,0.0995,0.0336,0.0037,1.0204
Risks,7.7263,1.4998,0.5548,0.2381,9.561,42.3872,0.0084,0.0121,0.1675,6.1396,15.5588,0.2121,0.1731,0.7692,1.0438,0.008
Architecturaldesignconfiguration,5.2661,0.4274,898.5235,0.9636,6.9192,0.0084,498.934,0.462,82.8934,1.3442,0.0103,17.9751,0.0082,0.3532,0.0055,1.4929
Existingsystemarchitecturedescription,1.3427,0.7475,71.6518,0.1187,1.7854,0.0121,0.462,34.6638,15.2498,0.3043,1.767,2.8366,4.7266,0.323,1.4911,1.8147
Architecturalcomponentbehaviorandstructure,0.8496,7.84,519.2426,0.24,0.2367,0.1675,82.8934,15.2498,281.4189,2.4533,0.0613,3.5976,26.6435,7.0119,0.0081,24.804
Userrequirement,0.5961,0.0332,0.0799,0.7595,0.8668,6.1396,1.3442,0.3043,2.4533,0.3745,1.7985,0.0001,0.9125,0.2249,0.1202,5.66
QualityAttributerequirement,2.3895,0.1835,0.1735,0.0466,3.0782,15.5588,0.0103,1.767,0.0613,1.7985,5.3468,0.0322,0.0821,0.0197,0.0692,0.1053
Assumptions,0.1368,4.6779,180.9875,3.2597,0.9224,0.2121,17.9751,2.8366,3.5976,0.0001,0.0322,256.8119,1.8764,0.0484,0.3363,5.3772
Architecturaltactics,0.6146,2.2847,1.712,2.1884,0.0995,0.1731,0.0082,4.7266,26.6435,0.9125,0.0821,1.8764,13.8349,0.1863,2.5642,0.0432
Technicaldebt,0.1045,0.1507,3.7293,0.3618,0.0336,0.7692,0.3532,0.323,7.0119,0.2249,0.0197,0.0484,0.1863,3.4382,0.0018,8.2438
Trade-offs,0.0396,0.0036,0.5049,1.2436,0.0037,1.0438,0.0055,1.4911,0.0081,0.1202,0.0692,0.3363,2.5642,0.0018,2.1737,0.0175
Run-timequalityissues,1.4066,1.6897,0.1046,2.8352,1.0204,0.008,1.4929,1.8147,24.804,5.66,0.1053,5.3772,0.0432,8.2438,0.0175,36.8524
